PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10000291.0,10000291.0,K00580,1.0,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
10000291.0,10000291.0,K00580,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00581,1.0,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
10000291.0,10000291.0,K00581,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00582,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00582,1.0,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
10000291.0,10000291.0,K00583,1.0,15.0,15.0,15.0,75.0,100.0,30.0,0.0,0.0,15.0,0.0,55.0
10000291.0,10000291.0,K00584,1.0,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
10000291.0,10000291.0,K00585,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00586,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00587,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00588,1.0,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
10000291.0,10000291.0,K00589,1.0,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
10000291.0,10000291.0,K00590,1.0,10.0,10.0,20.0,55.0,85.0,0.0,10.0,0.0,25.0,10.0,60.0
10000291.0,10000291.0,K00591,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00592,1.0,15.0,15.0,25.0,50.0,85.0,25.0,0.0,10.0,10.0,10.0,50.0
10000291.0,10000291.0,K00593,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00595,1.0,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
10000291.0,10000291.0,K00596,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00597,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00598,1.0,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
10000291.0,10000291.0,K00599,1.0,35.0,35.0,55.0,65.0,90.0,10.0,5.0,5.0,15.0,5.0,70.0
10000291.0,10000291.0,K00600,1.0,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
10000291.0,10000291.0,K00601,1.0,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
10000291.0,10000291.0,K00601,1.0,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
10000291.0,10000291.0,K00602,1.0,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
10000291.0,10000291.0,K00604,1.0,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
10000291.0,10000291.0,K00605,1.0,30.0,30.0,45.0,60.0,100.0,0.0,0.0,0.0,15.0,0.0,85.0
10000291.0,10000291.0,K00606,2.0,20.0,20.0,40.0,55.0,95.0,5.0,0.0,0.0,10.0,5.0,80.0
